sentence,source,href
得天下英才而教育之，三乐也。,《孟子·尽心章句上·第二十节》,/mingju/juv_9e90c18c0b54.aspx
沉思前事，似梦里，泪暗滴。,周邦彦《兰陵王·柳》,/mingju/juv_f5be050ee87e.aspx
一念疏忽，是错起头。一念决裂，是错到底。,《格言联璧·存养类》,/mingju/juv_709757eb7010.aspx
借问承恩者，双蛾几许长。,皇甫冉《婕妤怨》,/mingju/juv_1500c1640518.aspx
静夜四无邻，荒居旧业贫。,司空曙《喜外弟卢纶见宿》,/mingju/juv_af21d0102199.aspx
学而不思则罔，思而不学则殆。,《论语·为政篇》,/mingju/juv_5270d59bd714.aspx
置酒望白云，商飙起寒梧。,李白《登单父陶少府半月台》,/mingju/juv_489b79610fa4.aspx
可怜遥夜，冷烟和月，疏影横窗。,纳兰性德《眼儿媚·咏梅》,/mingju/juv_15829872cf5f.aspx
存为善之心，不必邀为善之名。,《围炉夜话·第五五则》,/mingju/juv_b7b14e27b0d5.aspx
深谋远虑，行军用兵之道,《史记·三十世家·陈涉世家》,/mingju/juv_11103130b1c9.aspx
云护牙签满，星含宝剑横。,戚继光《韬钤深处》,/mingju/juv_b9430cbbba59.aspx
惊风乱飐芙蓉水，密雨斜侵薜荔墙。,柳宗元《登柳州城楼寄漳汀封连四州》,/mingju/juv_4f8b5a2e0e08.aspx
大水冲了龙王庙，一家人不认得一家人,《三侠五义·第一百九回 骗豪杰贪婪一万两　作媒妁认识二千金》,/mingju/juv_c0b664b19261.aspx
江东日暮云，渭北春天树，不知那答儿是春住处？,薛昂夫《楚天遥过清江引·屈指数春来》,/mingju/juv_75fc16308a17.aspx
大江东去，长安西去，为功名走遍天涯路。,薛昂夫《山坡羊·大江东去》,/mingju/juv_87e6bb2ba14e.aspx
绿遍山原白满川，子规声里雨如烟。,翁卷《乡村四月》,/mingju/juv_4527dae3ca68.aspx
